Angel Island State Park,san francisco,37.860909,-122.4325682
Candlestick Point State Recreation Area,san francisco,37.7127781,-122.3816088
Farallon Islands State Marine Conservation Area,san francisco,37.69891,-123.003361
Mount Sutro Open Space Reserve,san francisco,37.7592201,-122.4572304
Alamo Square,san francisco,37.7774994,-122.433252
Alta Plaza,san francisco,37.7911417,-122.4376241
Balboa Park,san francisco,37.7245693,-122.4433573
Bayview park,san francisco,37.7152011,-122.3927835
Bernal Heights Park,san francisco,37.7433416,-122.4139925
Boeddeker Park,san francisco,37.7843019,-122.4122536
Buena Vista Park,san francisco,37.7684046,-122.4414145
Candlestick Park,san francisco,37.7127781,-122.3816088
Cayuga Park,san francisco,37.71425199999999,-122.4494188
Corona Heights Park,san francisco,37.7653122,-122.4385846
Dolores Park,san francisco,37.7596168,-122.4269038
Duboca Park,san francisco,37.76955100000001,-122.433214
Garfield Square,san francisco,37.7501812,-122.4122455
Glen Canyon Park,san francisco,37.7415588,-122.4431851
Goden Gate Park,san francisco,37.7694208,-122.4862138
Grand View Park,san francisco,37.7564084,-122.4717396
Harding Park Golf Club,san francisco,37.7248695,-122.4932728
Herons Head Park,san francisco,37.7382002,-122.3731081
Holly Park,san francisco,37.7372115,-122.4199353
In Chan Kaajal Park,san francisco,37.7639631,-122.4157476
Julius Kahn Playground,san francisco,37.7911316,-122.4543213
Lincoln Park,san francisco,37.782836,-122.5116181
Lafayette Park,san francisco,37.7916146,-122.4276133
Lake Merced,san francisco,37.7226724,-122.4948384
Larsen Park,san francisco,37.7394883,-122.4758581
Mclaren Park,san francisco,37.7192874,-122.4183155
Marina Green,san francisco,37.806723,-122.4394774
Mount Davidson Park,san francisco,37.7383333,-122.4533333
Mount Olympus,san francisco,37.7633847,-122.4455737
Mountain Lake Park,san francisco,37.7872822,-122.4697225
Palace of Fine Arts,san francisco,37.8020068,-122.4486055
The Panhandle,san francisco,37.7724379,-122.4462853
Park Presidio Boulevard,san francisco,37.7724371,-122.4757098
Pine Lake Park,san francisco,37.7362993,-122.4893919
Pink Triangle Park,san francisco,37.7623804,-122.4361009
Pioneer Park,san francisco,37.8028761,-122.4060188
Portsmouth Square,san francisco,37.794804,-122.4050955
Precita Park,san francisco,37.7470605,-122.4122163
San Francisco Zoo,san francisco,37.7333055,-122.5043292
Sigmund Stern Recreation Grove,san francisco,37.7349481,-122.4756366
South Park,san francisco,37.7816579,-122.3938961
Sue Bierman Park,san francisco,37.7961171,-122.396016
Twin Peaks,san francisco,37.7541536,-122.4471247
Union Square,san francisco,37.7879894,-122.4075017
Warm Water Cove,san francisco,37.7543323,-122.3834513
Washington Square,san francisco,37.8008333,-122.41
25th Street Mini Park,Oakland,37.814844,-122.2724523
85th Avenue Mini Park,Oakland,37.7552349,-122.1734076
88th Avenue Mini Park,Oakland,37.7552349,-122.1734076
Allendale Park,Oakland,37.786692,-122.2044019
Arroyo Viejo Park,Oakland,37.7617365,-122.1757183
Avenue Terrance Park,Oakland,37.8004125,-122.1921649
Bella Vista Park,Oakland,37.7997433,-122.2380639
Brookdale Park,Oakland,37.7824938,-122.2051372
Burckhalter Park,Oakland,37.775789,-122.164059
Bushrod Park,Oakland,37.8454589,-122.2635231
Carney Park,Oakland,37.7326632,-122.1786502
Central Reservoir Park,Oakland,37.7981415,-122.2235527
Cesar Chavez Park,Oakland,37.7793615,-122.2178009
Chabot Park,Oakland,37.7500807,-122.1294314
Channel Park,Oakland,37.7957246,-122.2602601
Chinese Garden Park,Oakland,37.7975054,-122.2702454
Clinton Square Park,Oakland,37.7943157,-122.2531587
Colby Park,Oakland,37.8475327,-122.2576787
Coliseum Gardens Park,Oakland,37.7572132,-122.1983722
Columbian Gardens Park,Oakland,37.7292574,-122.1889398
Concordia Park,Oakland,37.7727131,-122.1834184
Crescent Park,Oakland,37.9162981,-122.3250583
Cypress Freeway Memorial Park,Oakland,37.8104377,-122.2921431
DeFremery Park,Oakland,37.8124217,-122.2870094
Dimond Park,Oakland,37.8053434,-122.2152264
Dunsmuir Estate Park,Oakland,37.7429731,-122.1411162
Durant Mini Park,Oakland,37.8185673,-122.2720349
Eastshore Park,Oakland,37.809542,-122.2481954
Elmhurst Park,Oakland,37.7428373,-122.1760241
Elmhurst Plaza Park,Oakland,37.742981,-122.175087
Estuary Channel Park,Oakland,37.7899815,-122.2673383
Fitzgerald Park,Oakland,37.82631689999999,-122.2821882
FM Smith Park,Oakland,37.8005738,-122.248719
Foothill Meadows Extension,Oakland,37.7793615,-122.2178009
Foothill Meadows Park,Oakland,37.7793615,-122.2178009
Franklin Park,Oakland,37.8071644,-122.2684685
Fruitvale Bridge Park,Oakland,37.7696228,-122.229315
Garfield Park,Oakland,37.7858459,-122.2342741
Glen Echo Park,Oakland,37.8104832,-122.2613581
Golden Gate Park,Oakland,37.8450407,-122.2824303
Grove Shafter Park,Oakland,37.825336,-122.2690336
Hardy Dog Park,Oakland,37.8420415,-122.2576174
Helen McGregor Plaza Park,Oakland,37.8373711,-122.2690525
Henry J. Kaiser Memorial Park,Oakland,37.8088779,-122.2711639
Holly Mini Park,Oakland,37.7445278,-122.1687524
Ira Jinkins Park,Oakland,37.7369704,-122.1901345
Jefferson Square,Oakland,37.8008175,-122.2786163
Joaquin Miller Park,Oakland,37.8142056,-122.1845382
Joseph Knowland State Arboretum and Park,Oakland,37.7559541,-122.1316042
Kennedy Tract Park,Oakland,37.7777994,-122.2362293
Lafayette Square Park,Oakland,37.8034454,-122.2769085
Lakeside Park,Oakland,37.8082323,-122.2559457
Lazear Park,Oakland,37.775775,-122.231668
Lincoln Square Park,Oakland,37.800278,-122.268516
Linden Park,Oakland,37.83310840000001,-122.276111
Lowell Park,Oakland,37.80843309999999,-122.2845643
Madison Square Park,Oakland,37.7980284,-122.2673383
Mandana Plaza Park,Oakland,37.8121895,-122.241725
Manzanita Park,Oakland,37.794261,-122.227912
Marston Campbell Park,Oakland,37.8096592,-122.2793013
McClymonds Mini Park,Oakland,37.8180503,-122.2805414
McCrea Park,Oakland,37.792217,-122.1818776
Montclair Park,Oakland,37.828797,-122.21199
Nicol Park,Oakland,37.7929093,-122.2141994
Oak Glen Park,Oakland,37.8205062,-122.2585633
Oak Park,Oakland,37.8188549,-122.2582772
Oakland Zoo,Oakland,37.7499159,-122.1466504
Ostrander Park,Oakland,37.8425533,-122.2349883
Park Boulevard Plaza Park,Oakland,37.8008788,-122.2470432
Peralta Hacienda Park,Oakland,37.7871748,-122.2169921
Peralta Oaks Park,Oakland,37.7429731,-122.1411162
Peralta Park,Oakland,37.7974188,-122.2600715
Piedmont Plaza Park,Oakland,37.8299878,-122.2483156
Pine Knoll Park,Oakland,37.8021463,-122.2538677
Pinto Park,Oakland,37.7961534,-122.174578
Poplar Park,Oakland,37.8230528,-122.2841035
Rainbow Park,Oakland,37.7658162,-122.2001312
Rancho Peralta Park,Oakland,37.7974188,-122.2600715
Redwood Heights Park,Oakland,37.7980506,-122.1870586
Rockridge Park,Oakland,37.8420415,-122.2576174
Saint Andrews Park,Oakland,37.8231427,-122.2775288
San Antonio Park,Oakland,37.7902636,-122.2406851
Sanborn Park,Oakland,37.8118538,-122.1880513
Sequoia Lodge Park,Oakland,37.8149481,-122.2001014
Sheffield Village Park,Oakland,37.734933,-122.135113
Snow Park,Oakland,37.8068045,-122.2645174
Sobrante Park,Oakland,37.7285111,-122.1760241
South Prescott Park,Oakland,37.8027889,-122.2985268
Stonehurst Park,Oakland,37.7363923,-122.1751371
Tassafaronga Park,Oakland,37.7500137,-122.1846712
Temescal Creek Park,Oakland,37.8371017,-122.2771743
Union Plaza Park,Oakland,37.8258597,-122.2827083
Union Point Park,Oakland,37.7767921,-122.2414697
Vantage Point Park,Oakland,37.7882174,-122.2467773
Verdese Carter Park,Oakland,37.74912430000001,-122.1635245
Wade Johnson Park,Oakland,37.8091333,-122.2901962
Willow Mini Park,Oakland,37.814844,-122.2724523
Wood Park,Oakland,37.7954833,-122.2206373
Marina Village Park,Alameda,37.7866661,-122.274571
Dog Park,Alameda,37.7679786,-122.2727539
Littlejohn Park,Alameda,37.7765131,-122.2616667
Washington Park,Alameda,37.7699091,-122.2739911
McKinley Park,Alameda,37.7706741,-122.2443342
Lincoln Park,Alameda,37.7581379,-122.2298888
Jean Sweeney Open Space Park,Alameda,37.77962410000001,-122.2636334
Tillman Park,Alameda,37.742716,-122.2508629
Franklin Park,Alameda,37.768673,-122.2613149
Jackson Park,Alameda,37.7612177,-122.2436379
Estuary Park,Alameda,37.7892435,-122.2868506
Bayport Park,Alameda,37.7822412,-122.2875365
Godfrey Park,Alameda,37.7336545,-122.2327653
Leydecker Park,Alameda,37.7367137,-122.2415052
Longfellow Park,Alameda,37.7747259,-122.2811616
Neptune Park,Alameda,37.7826114,-122.2758452
Rittle Park,Alameda,37.7621685,-122.2616735
Shoreline Park,Alameda,37.7382887,-122.2577644
Towata Park,Alameda,37.7503306,-122.2366676
Woodstock Park,Alameda,37.7778562,-122.286213
Krusi Park,Alameda,37.7538813,-122.2404346
Main Street Linear Park,Alameda,37.7825778,-122.2911082
Marina Cove Waterfront Park,Alameda,37.7776017,-122.2571607
City View Skate Park,Alameda,37.7894588,-122.3070312
Main Street Dog Park,Alameda,37.790036,-122.2959561
Corica Park,Alameda,37.73955,-122.2329
Mastrick Senior Center,Alameda,37.7735008,-122.2651022
Main Street Soccer Field,Alameda,37.7787215,-122.2919709
Albany Hill Park,Albany,37.8949333,-122.3043737
Dartmouth Tot Lot,Albany,37.8845667,-122.2936774
Jewel's Terrace Park,Albany,37.8857537,-122.2869777
Jewel's Terrace Park,Albany,37.8857537,-122.2869777
Memorial Park,Albany,37.8958946,-122.2905534
Ocean View Park,Albany,37.8868471,-122.3026019
Peggy Thomsen Pierce Street Park,Albany,37.8909109,-122.3069233
Alexandar Park,Belmont,37.5268118,-122.2804528
Barrett Community Center,Belmont,37.5141688,-122.2921028
Belameda Park,Belmont,37.5091701,-122.2933293
Cipriani Park,Belmont,37.515177,-122.3061464
College View Park,Belmont,37.5209124,-122.2848567
Davey Glen Park,Belmont,37.5246967,-122.2861372
Hallmark Park,Belmont,37.5024544,-122.3086733
Hidden Canyon Park,Belmont,37.5034277,-122.2987105
McDougal Park,Belmont,37.5105524,-122.2849918
O'Donnell Park,Belmont,37.5242721,-122.2717243
Patricia Wharton Park,Belmont,37.52157,-122.287784
Ralston Ranch Park,Belmont,37.512381,-122.3248722
San Juan Canyon,Belmont,18.4655394,-66.1057355
Semeria Park,Belmont,37.5181094,-122.3003872
Twin Pines Park,Belmont,37.5172779,-122.2775591
Wakefield Park,Belmont,37.5055498,-122.3070193
Belvedere Community Center,Belvedere,37.8741958,-122.4655347
Aquatic Park,Berkeley,37.8603258,-122.2992682
Bateman Mall Park,Berkeley,37.8543972,-122.2571924
Berkeley Way Mini Park,Berkeley,37.8703569,-122.2869046
Cedar-Rose Park,Berkeley,37.8767626,-122.288812
Cesar Chavez Park,Berkeley,37.8720756,-122.3189663
Charlie Dorr mini Park,Berkeley,37.8664868,-122.2841211
Codornices Park,Berkeley,37.8853382,-122.2618439
Contra Costa Rock Park,Berkeley,37.8921842,-122.2760667
Cragmont Rock Park,Berkeley,37.8920762,-122.2637155
Dorothy Bolte Park,Berkeley,37.9013907,-122.270174
Frederick Mini Park,Berkeley,37.8950525,-122.2754464
George Florence Mini Park,Berkeley,37.8667616,-122.2924139
Glendale-La Loma Park,Berkeley,37.8853058,-122.2559964
Great Stoneface Park,Berkeley,37.896812,-122.2783262
Greg Brown Mini Park,Berkeley,37.8503325,-122.2695149
Grizzly Peak Park,Berkeley,37.8902565,-122.2558618
Grotto Rock Park,Berkeley,37.893187,-122.2689712
Grove Park,Berkeley,37.8563865,-122.2723007
Halcyon Commons,Berkeley,37.8540734,-122.261002
Harrison Park,Berkeley,37.8814172,-122.3033547
Haskell-Mabel Mini Park,Berkeley,37.851223,-122.2835469
Horseshoe Park,Berkeley,37.8647344,-122.3172178
Indian Rock Park,Berkeley,37.8922104,-122.272961
James Kenny Park,Berkeley,37.87213879999999,-122.2972639
John Hinkel Park,Berkeley,37.8953691,-122.2728324
John Muir School Park,Berkeley,37.8576889,-122.2449159
King School Park,Berkeley,37.8828441,-122.2782996
Le Conte School Park,Berkeley,37.8581242,-122.2619258
Live Oak Park,Berkeley,37.8846108,-122.2692343
Malcolm X School Park,Berkeley,37.8525375,-122.2735647
MLK JR Civic Center Park,Berkeley,37.8693718,-122.2718533
Mortar Rock Park,Berkeley,37.8933471,-122.2723893
Oak Park,Berkeley,37.8846108,-122.2692343
People's Park,Berkeley,37.8658134,-122.2570583
Presentation Park,Berkeley,37.8682364,-122.2791087
Remillard Park,Berkeley,37.8922592,-122.2608691
San Pablo Park,Berkeley,37.8559146,-122.2839904
Shorebird Park,Berkeley,37.863087,-122.3148274
Solano Peralta Park,Berkeley,37.8912828,-122.2855581
Strawberry Creek Park,Berkeley,37.868422,-122.2864778
Terrace View Park,Berkeley,37.88414460000001,-122.2507376
Willard Park,Berkeley,37.8610841,-122.2566194
Community Park,Brisbane,37.6851145,-122.4015496
Dog Park,Brisbane,-27.4815974,153.0399191
Fisherman's Park,Brisbane,37.59202,-122.334669
Firth Park,Brisbane,37.6779874,-122.397879
Skate Park,Brisbane,37.6855843,-122.4022275
Alpine Park,Burlingame,37.5843,-122.3538373
Bayside God Exercise Park,Burlingame,37.5916282,-122.3560919
Cuernavaca Park,Burlingame,37.5793125,-122.397525
Heritage Park,Burlingame,37.5736826,-122.3503398
Laguna Park,Burlingame,37.589523,-122.3698184
Pershing Park,Burlingame,37.5731028,-122.3476606
Ray Park,Burlingame,37.5888403,-122.3830087
Victoria Park,Burlingame,37.5855275,-122.3345771
Village Park,Burlingame,37.5915222,-122.3742124
Washington Park,Burlingame,37.5820825,-122.3426844
Corte Madera Town Park,Corte Madera,37.9257602,-122.5241032
The Cove Park,Corte Madera,37.9257602,-122.5241032
Alta Loma Park,Daly City,37.6818982,-122.4786294
Arden Park,Daly City,37.7055541,-122.4293387
Bayshore Heights Park,Daly City,37.7015647,-122.4196496
Broderick-Terry Dueling Site Park,Daly City,37.7080262,-122.4839742
Dan Gillbrech Park,Daly City,37.6879241,-122.4702079
