Angel Island State Park,san francisco
Candlestick Point State Recreation Area,san francisco
Farallon Islands State Marine Conservation Area,san francisco
Mount Sutro Open Space Reserve,san francisco
Alamo Square,san francisco
Alta Plaza,san francisco
Balboa Park,san francisco
Bayview park,san francisco
Bernal Heights Park,san francisco
Boeddeker Park,san francisco
Buena Vista Park,san francisco
Candlestick Park,san francisco
Cayuga Park,san francisco
Corona Heights Park,san francisco
Dolores Park,san francisco
Duboca Park,san francisco
Garfield Square,san francisco
Glen Canyon Park,san francisco
Goden Gate Park,san francisco
Grand View Park,san francisco
Harding Park Golf Club,san francisco
Herons Head Park,san francisco
Holly Park,san francisco
In Chan Kaajal Park,san francisco
Julius Kahn Playground,san francisco
Lincoln Park,san francisco
Lafayette Park,san francisco
Lake Merced,san francisco
Larsen Park,san francisco
Mclaren Park,san francisco
Marina Green,san francisco
Mount Davidson Park,san francisco
Mount Olympus,san francisco
Mountain Lake Park,san francisco
Palace of Fine Arts,san francisco
The Panhandle,san francisco
Park Presidio Boulevard,san francisco
Pine Lake Park,san francisco
Pink Triangle Park,san francisco
Pioneer Park,san francisco
Portsmouth Square,san francisco
Precita Park,san francisco
San Francisco Zoo,san francisco
Sigmund Stern Recreation Grove,san francisco
South Park,san francisco
Sue Bierman Park,san francisco
Twin Peaks,san francisco
Union Square,san francisco
Warm Water Cove,san francisco
Washington Square,san francisco
25th Street Mini Park,Oakland
85th Avenue Mini Park,Oakland
88th Avenue Mini Park,Oakland
Allendale Park,Oakland
Arroyo Viejo Park,Oakland
Avenue Terrance Park,Oakland
Bella Vista Park,Oakland
Brookdale Park,Oakland
Burckhalter Park,Oakland
Bushrod Park,Oakland
Carney Park,Oakland
Central Reservoir Park,Oakland
Cesar Chavez Park,Oakland
Chabot Park,Oakland
Channel Park,Oakland
Chinese Garden Park,Oakland
Clinton Square Park,Oakland
Colby Park,Oakland
Coliseum Gardens Park,Oakland
Columbian Gardens Park,Oakland
Concordia Park,Oakland
Crescent Park,Oakland
Cypress Freeway Memorial Park,Oakland
DeFremery Park,Oakland
Dimond Park,Oakland
Dunsmuir Estate Park,Oakland
Durant Mini Park,Oakland
Eastshore Park,Oakland
Elmhurst Park,Oakland
Elmhurst Plaza Park,Oakland
Estuary Channel Park,Oakland
Fitzgerald Park,Oakland
FM Smith Park,Oakland
Foothill Meadows Extension,Oakland
Foothill Meadows Park,Oakland
Franklin Park,Oakland
Fruitvale Bridge Park,Oakland
Garfield Park,Oakland
Glen Echo Park,Oakland
Golden Gate Park,Oakland
Grove Shafter Park,Oakland
Hardy Dog Park,Oakland
Helen McGregor Plaza Park,Oakland
Henry J. Kaiser Memorial Park,Oakland
Holly Mini Park,Oakland
Ira Jinkins Park,Oakland
Jefferson Square,Oakland
Joaquin Miller Park,Oakland
Joseph Knowland State Arboretum and Park,Oakland
Kennedy Tract Park,Oakland
