address,city,state,zipCode,lat,lon,rooms,squareFeet,price,shortest distance to public trans,shortest distance to whole foods,shortest distance to parks
590 Eldorado Avenue Condominiums,Oakland,CA,94611,37.821632,-122.252488,1,803,479000,0.94678638,0.76944872,0.340949637
626 Mariners Island Blvd APT 209,San Mateo,CA,94404,37.564759,-122.284868,0,519,499000,1.244474654,6.412751303,0.213639307
1419 Derby St,Berkeley,CA,94702,37.858752,-122.281625,3,1400,1198000,0.749348036,3.374239213,0.234952376
97 Amber Dr,San Francisco,CA,94131,37.745618,-122.445018,3,1420,1295000,1.062712338,0.888976153,0.298125189
2282 Park Blvd,Oakland,CA,94606,37.801404,-122.245254,1,1300,2495000,1.077217572,1.165398339,0.104313257
3626 Lyon Ave,Oakland,CA,94601,37.785553,-122.209896,2,832,598888,1.078099507,1.621862952,0.197884733
1779 10th Ave,San Francisco,CA,94122,37.755075,-122.467088,2,1293,1288000,1.097942616,1.273831692,0.270579213
304 Malcolm Ave,Belmont,CA,94002,37.526735,-122.288387,3,1600,1598000,0.760460915,1.715413859,0.18736951
1634 Leimert Blvd,Oakland,CA,94602,37.811784,-122.210025,3,1916,1299000,1.003068213,1.852051834,0.310486413
2032 Encinal Ave,Alameda,CA,94501,37.76591,-122.25274,4,1720,880000,1.130416237,1.991348016,0.335328838
1623 Tyler St,Berkeley,CA,94703,37.853106,-122.275355,4,1390,799000,0.295418857,2.365254877,0.105385875
65 67 Rivoli St,San Francisco,CA,94117,37.76244,-122.449073,0,2170,1895000,1.241041902,0.538536663,0.202192538
944 Shoreline Dr,San Mateo,CA,94404,37.558334,-122.288916,3,1625,1365000,1.195863579,1.230235275,0.244868288
3015 23rd Ave,San Francisco,CA,94132,37.732262,-122.47948,4,2494,1688000,1.371448785,1.26777857,0.280570447
2750 40th Ave,San Francisco,CA,94116,37.735512,-122.497403,3,1283,995000,1.430365604,1.616111874,0.281617525
2920 Buchanan St APT 7,San Francisco,CA,94123,37.797112,-122.431787,1,950,1049000,1.433109271,0.665218888,0.314909433
672 34th St,Oakland,CA,94609,37.823774,-122.270591,0,3113,950000,0.414206982,0.92421402,0.137522855
6020 Skyline Blvd,Oakland,CA,94611,37.852614,-122.211873,5,3160,1200000,1.038626034,2.005418851,0.358777741
2541 California St APT 4,San Francisco,CA,94115,37.788297,-122.436186,3,1350,1380000,1.36855291,0.709115155,0.211881601
3590 20th St APT 505,San Francisco,CA,94110,37.75866,-122.42018,3,1839,2395000,0.453103944,0.7463122,0.362306676
17335 Via Chiquita,San Lorenzo,CA,94580,37.667273,-122.133127,3,1031,585000,0.464433071,0.770577841,0.368673538
58 N El Camino Real APT 208,San Mateo,CA,94401,37.566655,-122.328692,2,1150,978000,0.283961337,1.008064914,0.370065836
352 Sweet Rd,Alameda,CA,94502,37.741017,-122.257988,4,2202,1395000,1.28372341,1.46567298,0.189105325
1611 15th St,Oakland,CA,94607,37.812067,-122.294073,3,1467,610000,0.513604488,1.579030898,0.154342377
1651 47th Ave,Oakland,CA,94601,37.772306,-122.209739,0,2639,560000,0.887624278,1.807989022,0.293350865
1006 Everett St,El Cerrito,CA,94530,37.913989,-122.303232,3,1008,675000,0.819917625,1.920362673,0.158242686
1373 75 Page St,San Francisco,CA,94117,37.771205,-122.443335,0,4275,2095000,1.071133962,0.530213539,0.182458515
518 Silver Ave,San Francisco,CA,94112,37.728428,-122.426069,3,1500,1095000,0.531478975,0.907881024,0.220327276
58 Vernon St # 402,Oakland,CA,94610,37.812345,-122.259815,3,1844,1385000,0.533359004,0.070981234,0.153926642
518 E 16th Ave,San Mateo,CA,94402,37.557386,-122.308891,4,1980,1398000,0.299075994,1.490657006,0.354438656
3970 Coronado Way,San Bruno,CA,94066,37.635548,-122.466067,3,1160,1118000,1.087504693,1.494463639,0.181869645
380 14th St APT 403,San Francisco,CA,94103,37.76834,-122.421742,1,591,699000,0.237930245,0.294417318,0.372200716
375 Mandarin Dr APT 111,Daly City,CA,94015,37.664553,-122.462079,1,717,475000,0.892423934,1.044309251,0.258870749
112 Clipper St,San Francisco,CA,94114,37.749513,-122.427682,5,2962,1995000,0.538296537,0.244128721,0.373587225
25 Lilac Ln,South San Francisco,CA,94080,37.660523,-122.420798,3,1460,1075000,0.915089296,1.237804256,0.381557664
315 Rheem Blvd,Moraga,CA,94556,37.862637,-122.131239,4,2091,1495000,0.992300931,1.303481362,0.386761606
2443 Grande Vista Ave,Oakland,CA,94601,37.790877,-122.227702,0,2898,1295900,1.069403461,1.496739383,0.234343748
8009 Greenridge Dr APT 4,Oakland,CA,94605,37.772976,-122.154234,2,854,475000,1.099147757,1.509723205,0.387191704
2116 Broadway,Burlingame,CA,94010,37.579594,-122.370662,3,2040,2185000,0.702179878,1.649506426,0.403788964
831 833 Filbert St,San Francisco,CA,94133,37.800653,-122.413164,4,2618,1995000,1.014095378,0.918911462,0.173369371
4070 23rd St,San Francisco,CA,94114,37.753178,-122.433543,4,3395,4500000,0.826901982,0.167574355,0.405912728
148 Cypress Pl,Sausalito,CA,94965,37.867817,-122.502877,1,766,659000,1.030519874,1.1067164,0.086644758
2821 Shasta Rd,Berkeley,CA,94708,37.887862,-122.255652,3,1945,1098000,1.127175626,1.527683238,0.166016824
55 Santa Paula Ave,San Francisco,CA,94127,37.738902,-122.463121,5,2682,2495000,1.137185081,1.251796228,0.177802451
3307 Pierson St,Oakland,CA,94619,37.781671,-122.191102,2,935,599000,1.154656293,1.551833831,0.371595022
2109 Cipriani Blvd,Belmont,CA,94002,37.52125,-122.301171,4,2250,2280000,1.182219821,1.688939873,0.221441969
3221 Macarthur Blvd,Oakland,CA,94602,37.795671,-122.203146,3,1554,998800,1.186187973,1.702013719,0.380424263
360 Guerrero St APT 410,San Francisco,CA,94103,37.765462,-122.424916,1,822,819000,0.29219316,0.233669811,0.407046643
608 Tern Ln,Alameda,CA,94501,37.77899,-122.278853,4,1590,839744,0.979468089,0.98870061,0.299630064
