street address,lat,lng
12th st oakland city center bart station,37.8034662,-122.2716016
19th st oakland bart station,37.8088478,-122.2685139
antioch bart station,37.9957533,-121.780075
balboa park bart station,37.7217476,-122.4474615
castro valley bart station,37.690746,-122.075602
coliseum bart station,37.7537939,-122.197005
concord bart station,37.973737,-122.029095
downtown berkeley bart station,37.870121,-122.2681423
el cerrito del norte bart station,37.9251245,-122.3168742
embarcadero bart station,37.7929053,-122.397059
fruitvale bart station,37.775518,-122.2254576
hayward bart station,37.6692842,-122.0860985
lake merritt bart station,37.7970303,-122.2651829
millbrae bart station,37.6002446,-122.3867914
north berkeley bart station,37.8742903,-122.2831816
oakland international airport bart station,37.7132759,-122.212208
pittsburg / bay point bart station,38.0176012,-121.9453242
pleasant hill / contra costa centre bart station,37.9284957,-122.0560287
richmond bart station,37.936719,-122.353035
san bruno bart station,37.637792,-122.4163016
san leandeo bart station,37.721947,-122.160844
south san francisco bart station,37.664245,-122.44396
walnut creek bart station,37.9056632,-122.0675095
west dublin / pleasanton bart station,37.699746,-121.928199
16th st mission bart station,37.7653575,-122.4195738
24th mission bart station,37.7522505,-122.4184682
ashby bart station,37.85306509999999,-122.269946
bay fair bart station,37.696924,-122.126514
civic center / un plaza bart station,37.7795744,-122.4137147
colma bart station,37.684638,-122.466233
daly city bart station,37.7059876,-122.4690249
dublin / pleasanton bart station,37.7016477,-121.8992171
el cerrito plaza bart station,37.902627,-122.298948
fremont bart station,37.5574355,-121.9758439
glen park bart station,37.733064,-122.433817
lafayette bart station,37.893179,-122.124679
macarthur bart station,37.829065,-122.26704
montgomery st bart station,37.7893598,-122.4013317
north concord / martinez bart station,38.003193,-122.024653
orinda bart station,37.878417,-122.183746
pittsburg center bart station,38.0167754,-121.8887566
powell st bart station,37.784471,-122.407974
rockridge bart station,37.844702,-122.251371
san francisco international airport bart station,37.6160179,-122.3924995
south hayward bart station,37.634375,-122.057189
union city bart station,37.5906463,-122.0173518
warm springs / south fremont bart station,37.502171,-121.939313
west oakland bart station,37.8046891,-122.2951358
San Francisco caltrain station,37.7766711,-122.3948431
22nd street caltrain station,37.7573859,-122.3928981
bayshore caltrain station,37.7087479,-122.4015751
south san francisco caltrain station,37.6557772,-122.4051986
san bruno caltrain station,37.62976099999999,-122.4113463
millbrare transit center caltrain station,37.6001863,-122.3868224
broadway caltrain station,37.587552,-122.362708
burlingame caltrain station,37.5799379,-122.3450469
san mateo caltrain station,37.56782219999999,-122.3237263
hayward park caltrain station,37.5531106,-122.309706
hillsdale caltrain station,37.538995,-122.298155
belmont caltrain station,37.5212913,-122.2763428
san carlos caltrain station,37.508084,-122.260062
redwood city caltrain station,37.4858238,-122.2317187
atherton caltrain station,37.4645161,-122.1979797
menlo park caltrain station,37.454801,-122.1825892
palo alto caltrain station,37.444004,-122.1662884
california ave caltrain station,37.4290642,-122.1421765
san antonio caltrain station,37.40719989999999,-122.1071452
mountain view caltrain station,37.3945523,-122.0760376
sunnyvale caltrain station,37.3784344,-122.0307968
lawrence caltrain station,37.3704129,-121.9959796
santa clara caltrain station,37.353218,-121.936453
college park caltrain station,37.3426862,-121.9155326
san jose diridon caltrain station,37.3299054,-121.9025016
tamien caltrain station,37.31163799999999,-121.883403
capitol caltrain station,37.2839762,-121.8417687
blossom hill caltrain station,37.2524092,-121.7974864
morgan hill caltrain station,37.129725,-121.6505599
san martin caltrain station,37.0857482,-121.6104315
gilroy caltrain station,37.004466,-121.5668751
mountain view light rail station,37.3951697,-122.0773331
evelyn light rail station,37.3919369,-122.0587115
whisman light rail station,37.3919369,-122.0587115
middlefiled light rail station,37.3958341,-122.0520931
bayshore/NASA light rail station,37.4044726,-122.0494573
Moffett Park light rail station,37.40235819999999,-122.0337801
Lockheed Martion light rail station,37.4096569,-122.0270657
Borregas light rail station,37.4119312,-122.0190374
Crossman light rail station,37.4090587,-122.011373
Fair Oaks light rail station,37.4027205,-122.0092701
vienna light rail station,37.403377,-121.9995848
reamwood light rail station,37.4035879,-121.9893506
old ironsides light rail station,37.4033307,-121.9791701
great america light rail station,37.4034905,-121.974719
lick mill light rail station,37.4077223,-121.9634596
champion light rail station,37.4092964,-121.9523903
tasman light rail station,37.40851110000001,-121.9443547
baypointe light rail station,37.4106744,-121.9419365
cisco way light rail station,37.4124637,-121.9285605
i-880/milpitas light rail station,37.4134342,-121.9173479
