street address,lat,lng
"777 the alameda, san jose, ca 95126",37.3321237,-121.9049074
"1690 S Bascom Ave, Campbell, CA 95008",37.2932205,-121.9303789
"1146 blossom hill road, San Jose, CA 95118",37.2491894,-121.8767183
"2732 augustine drive ste 1600, Santa Clara, CA 95054",37.3808426,-121.9761941
"15980 Los Gatos blvd, Los Gatos, CA 95032",37.2364807,-121.9614419
"20955 Stevens Creek Blvd, Cupertino, CA 95014",37.3235879,-122.0396177
"4800 El Camino Real, Los Altos, CA 94022",37.3989341,-122.1106483
"3111 Mowry Ave, Fremont, CA 94538",37.5549521,-121.9852559
"774 Emerson Street, Palo Alto, CA 94301",37.4424053,-122.1596147
"1250 Jefferson Ave, Redwood City, CA 94062",37.4822223,-122.2316198
"1710 41st Ave, Capitola, CA 95010",36.9743246,-121.9635747
"450 Rhode Island street, san francisco, CA 94107",37.7644788,-122.4032778
"1150 Ocean Ave, San Francisco, CA 94112",37.7229097,-122.4524082
"3950 24th street, San Francisco, CA 94114",37.7519697,-122.4308871
"399 4th street, San Francisco, CA 94107",37.7812623,-122.3997825
"2001 Market Street, San Francisco, CA 94114",37.7683532,-122.4271267
"1765 California Street, San Francisco, CA 94109",37.79012669999999,-122.4234213
"690 Stanyan Street, San Francisco, CA 94117",37.76963800000001,-122.4528278
"230 Bay PI, Oakland, CA 94612",37.81276870000001,-122.2609981
